Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
buprenorphine hydrochloride,63629-7125-2,2 mg/1,TABLET,SUBLINGUAL,ANDA090622,Bryant Ranch Prepack,63629-7125,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/31/2016,N/A,ANDA,90 TABLET in 1 BOTTLE (63629-7125-2),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
buprenorphine hydrochloride,63629-7125-3,2 mg/1,TABLET,SUBLINGUAL,ANDA090622,Bryant Ranch Prepack,63629-7125,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/21/2017,N/A,ANDA,30 TABLET in 1 BOTTLE (63629-7125-3),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
buprenorphine hydrochloride,63629-7125-4,2 mg/1,TABLET,SUBLINGUAL,ANDA090622,Bryant Ranch Prepack,63629-7125,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/02/2022,N/A,ANDA,7 TABLET in 1 BOTTLE (63629-7125-4),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
buprenorphine hydrochloride,63629-7125-5,2 mg/1,TABLET,SUBLINGUAL,ANDA090622,Bryant Ranch Prepack,63629-7125,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/02/2022,N/A,ANDA,28 TABLET in 1 BOTTLE (63629-7125-5),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
buprenorphine hydrochloride,63629-7125-6,2 mg/1,TABLET,SUBLINGUAL,ANDA090622,Bryant Ranch Prepack,63629-7125,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/02/2022,N/A,ANDA,1 TABLET in 1 BOTTLE (63629-7125-6),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
buprenorphine hydrochloride,63629-7125-7,2 mg/1,TABLET,SUBLINGUAL,ANDA090622,Bryant Ranch Prepack,63629-7125,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/02/2022,N/A,ANDA,12 TABLET in 1 BOTTLE (63629-7125-7),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
buprenorphine hydrochloride,63629-7125-8,2 mg/1,TABLET,SUBLINGUAL,ANDA090622,Bryant Ranch Prepack,63629-7125,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/02/2022,N/A,ANDA,120 TABLET in 1 BOTTLE (63629-7125-8),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
buprenorphine hydrochloride,50383-924-93,2 mg/1,TABLET,SUBLINGUAL,ANDA090622,Akorn Operating Company LLC (dba Akorn),50383-924,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/24/2010,N/A,ANDA,30 TABLET in 1 BOTTLE (50383-924-93),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
buprenorphine hydrochloride,70518-2216-0,2 mg/1,TABLET,SUBLINGUAL,ANDA090622,REMEDYREPACK INC.,70518-2216,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,07/15/2019,N/A,ANDA,30 TABLET in 1 BLISTER PACK (70518-2216-0),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2024
Buprenorphine and Naloxone,0228-3154-03,"2 mg/1,                         .5  mg/1",TABLET,SUBLINGUAL,ANDA091422,"Actavis Pharma, Inc.",0228-3154,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,03/04/2013,N/A,ANDA,30 TABLET in 1 BOTTLE (0228-3154-03),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,60687-626-65,"2 mg/1,                         .5  mg/1",TABLET,SUBLINGUAL,ANDA205601,American Health Packaging,60687-626,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,11/01/2021,N/A,ANDA,50 BLISTER PACK in 1 CARTON (60687-626-65)  / 1 TABLET in 1 BLISTER PACK (60687-626-11),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,0378-8765-93,"2 mg/1,                         .5  mg/1",FILM,BUCCAL; SUBLINGUAL,ANDA211785,Mylan Pharmaceuticals Inc.,0378-8765,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,04/17/2020,N/A,ANDA,30 POUCH in 1 CARTON (0378-8765-93)  / 1 FILM in 1 POUCH (0378-8765-16),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,63629-7270-1,"2 mg/1,                         .5  mg/1",TABLET,SUBLINGUAL,ANDA204431,Bryant Ranch Prepack,63629-7270,buprenorphine hydrochloride and naloxone hydrochloride,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/02/2022,N/A,ANDA,30 TABLET in 1 BOTTLE (63629-7270-1),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,63629-7270-2,"2 mg/1,                         .5  mg/1",TABLET,SUBLINGUAL,ANDA204431,Bryant Ranch Prepack,63629-7270,buprenorphine hydrochloride and naloxone hydrochloride,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/02/2022,N/A,ANDA,10 TABLET in 1 BOTTLE (63629-7270-2),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,43598-579-30,"2 mg/1,                         .5  mg/1","FILM, SOLUBLE",BUCCAL; SUBLINGUAL,ANDA205299,Dr.Reddys Laboratories Inc,43598-579,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE,HUMAN PRESCRIPTION DRUG,06/14/2018,N/A,ANDA,"30 POUCH in 1 CARTON (43598-579-30)  / 1 FILM, SOLUBLE in 1 POUCH (43598-579-01)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,70518-3603-0,"2 mg/1,                         .5  mg/1",TABLET,SUBLINGUAL,ANDA201633,REMEDYREPACK INC.,70518-3603,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,01/04/2023,N/A,ANDA,30 TABLET in 1 BLISTER PACK (70518-3603-0),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2024
Buprenorphine and Naloxone,42858-601-03,"2 mg/1,                         .5  mg/1",TABLET,SUBLINGUAL,ANDA205601,Rhodes Pharmaceuticals L.P.,42858-601,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,04/13/2020,N/A,ANDA,"30 TABLET in 1 BOTTLE, PLASTIC (42858-601-03)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,47781-355-03,"2 mg/1,                         .5  mg/1",FILM,BUCCAL; SUBLINGUAL,ANDA205954,Alvogen Inc.,47781-355,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,02/11/2019,N/A,ANDA,30 POUCH in 1 CARTON (47781-355-03)  / 1 FILM in 1 POUCH (47781-355-11),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,50383-294-93,"2 mg/1,                         .5  mg/1",TABLET,SUBLINGUAL,ANDA204431,Akorn Operating Company LLC (dba Akorn),50383-294,buprenorphine hydrochloride and naloxone hydrochloride,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,01/07/2016,N/A,ANDA,"30 TABLET in 1 BOTTLE, PLASTIC (50383-294-93)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,62756-969-83,"2 mg/1,                         .5  mg/1",TABLET,SUBLINGUAL,ANDA201633,"Sun Pharmaceutical Industries, Inc.",62756-969,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,07/18/2017,N/A,ANDA,30 TABLET in 1 BOTTLE (62756-969-83),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,63629-9482-1,"2 mg/1,                         .5  mg/1",TABLET,SUBLINGUAL,ANDA205601,Bryant Ranch Prepack,63629-9482,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,12/12/2022,N/A,ANDA,"30 TABLET in 1 BOTTLE, PLASTIC (63629-9482-1)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,70518-3487-0,"2 mg/1,                         .5  mg/1",TABLET,SUBLINGUAL,ANDA205601,REMEDYREPACK INC.,70518-3487,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,08/19/2022,N/A,ANDA,30 TABLET in 1 BLISTER PACK (70518-3487-0),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,62756-969-64,"2 mg/1,                         .5  mg/1",TABLET,SUBLINGUAL,ANDA201633,"Sun Pharmaceutical Industries, Inc.",62756-969,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,07/18/2017,N/A,ANDA,3 BLISTER PACK in 1 CARTON (62756-969-64)  / 10 TABLET in 1 BLISTER PACK,"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,62175-452-32,"2 mg/1,                         .5  mg/1",TABLET,SUBLINGUAL,ANDA205022,"Lannett Company, Inc.",62175-452,Buprenorphine and Naloxone,BUPRENORPHINE;  NALOXONE,HUMAN PRESCRIPTION DRUG,09/19/2016,N/A,ANDA,30 TABLET in 1 BOTTLE (62175-452-32),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,71335-1296-1,"2 mg/1,                         .5  mg/1",TABLET,SUBLINGUAL,ANDA205022,Bryant Ranch Prepack,71335-1296,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,08/12/2019,N/A,ANDA,30 TABLET in 1 BOTTLE (71335-1296-1),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine and Naloxone,71335-1296-2,"2 mg/1,                         .5  mg/1",TABLET,SUBLINGUAL,ANDA205022,Bryant Ranch Prepack,71335-1296,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,06/29/2022,N/A,ANDA,10 TABLET in 1 BOTTLE (71335-1296-2),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine HCl and Naloxone HCl,50268-144-15,"2 mg/1,                         .5  mg/1",TABLET,SUBLINGUAL,ANDA203136,AvPAK,50268-144,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,12/08/2016,N/A,ANDA,"50 BLISTER PACK in 1 BOX, UNIT-DOSE (50268-144-15)  / 1 TABLET in 1 BLISTER PACK (50268-144-11)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine HCl and Naloxone HCl,70518-1007-0,"2 mg/1,                         .5  mg/1",TABLET,SUBLINGUAL,ANDA203136,REMEDYREPACK INC.,70518-1007,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,02/08/2018,N/A,ANDA,30 TABLET in 1 BLISTER PACK (70518-1007-0),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine HCl and Naloxone HCl,65162-416-09,"2 mg/1,                         .5  mg/1",TABLET,SUBLINGUAL,ANDA203136,Amneal Pharmaceuticals LLC,65162-416,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,02/22/2013,N/A,ANDA,90 TABLET in 1 BOTTLE (65162-416-09),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine HCl and Naloxone HCl,63629-7269-1,"2 mg/1,                         .5  mg/1",TABLET,SUBLINGUAL,ANDA203136,Bryant Ranch Prepack,63629-7269,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,12/16/2019,N/A,ANDA,30 TABLET in 1 BOTTLE (63629-7269-1),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine HCl and Naloxone HCl,65162-416-03,"2 mg/1,                         .5  mg/1",TABLET,SUBLINGUAL,ANDA203136,Amneal Pharmaceuticals LLC,65162-416,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,02/22/2013,N/A,ANDA,30 TABLET in 1 BOTTLE (65162-416-03),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine HCl and Naloxone HCl,71335-1514-1,"2 mg/1,                         .5  mg/1",TABLET,SUBLINGUAL,ANDA203136,Bryant Ranch Prepack,71335-1514,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,02/17/2020,N/A,ANDA,30 TABLET in 1 BOTTLE (71335-1514-1),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine HCl and Naloxone HCl,71335-1514-2,"2 mg/1,                         .5  mg/1",TABLET,SUBLINGUAL,ANDA203136,Bryant Ranch Prepack,71335-1514,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,09/21/2022,N/A,ANDA,10 TABLET in 1 BOTTLE (71335-1514-2),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
buprenorphine hydrochloride and naloxone hydrochloride dihydrate,71335-1653-1,"2 mg/1,                         .5  mg/1",TABLET,SUBLINGUAL,ANDA203326,Bryant Ranch Prepack,71335-1653,buprenorphine hydrochloride and naloxone hydrochloride dihydrate,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,10/29/2020,N/A,ANDA,30 TABLET in 1 BOTTLE (71335-1653-1),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
buprenorphine hydrochloride and naloxone hydrochloride dihydrate,71335-1720-1,"2 mg/1,                         .5  mg/1",TABLET,SUBLINGUAL,ANDA203326,Bryant Ranch Prepack,71335-1720,buprenorphine hydrochloride and naloxone hydrochloride dihydrate,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,10/19/2020,N/A,ANDA,30 TABLET in 1 BOTTLE (71335-1720-1),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
buprenorphine hydrochloride and naloxone hydrochloride dihydrate,71335-1720-2,"2 mg/1,                         .5  mg/1",TABLET,SUBLINGUAL,ANDA203326,Bryant Ranch Prepack,71335-1720,buprenorphine hydrochloride and naloxone hydrochloride dihydrate,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,07/01/2022,N/A,ANDA,10 TABLET in 1 BOTTLE (71335-1720-2),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
buprenorphine hydrochloride and naloxone hydrochloride dihydrate,0054-0188-13,"2 mg/1,                         .5  mg/1",TABLET,SUBLINGUAL,ANDA203326,Hikma Pharmaceuticals USA Inc.,0054-0188,buprenorphine hydrochloride and naloxone hydrochloride dihydrate,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,06/27/2014,N/A,ANDA,30 TABLET in 1 BOTTLE (0054-0188-13),"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
buprenorphine hydrochloride and naloxone hydrochloride dihydrate,0904-7009-06,"2 mg/1,                         .5  mg/1",TABLET,SUBLINGUAL,ANDA203326,Major Pharmaceuticals,0904-7009,buprenorphine hydrochloride and naloxone hydrochloride dihydrate,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,06/27/2014,N/A,ANDA,50 BLISTER PACK in 1 CARTON (0904-7009-06)  / 1 TABLET in 1 BLISTER PACK,"Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine Hydrochloride and Naloxone Hydrochloride Dihydrate,55700-901-30,"2 mg/1,                         .5  mg/1",TABLET,SUBLINGUAL,ANDA207000,"Quality Care Products, LLC",55700-901,Buprenorphine Hydrochloride and Naloxone Hydrochloride Dihydrate,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,03/03/2021,N/A,ANDA,"30 TABLET in 1 BOTTLE, PLASTIC (55700-901-30)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine Hydrochloride and Naloxone Hydrochloride Dihydrate,0406-8005-03,"2 mg/1,                         .5  mg/1",TABLET,SUBLINGUAL,ANDA207000,SpecGx LLC,0406-8005,Buprenorphine Hydrochloride and Naloxone Hydrochloride Dihydrate,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE DIHYDRATE,HUMAN PRESCRIPTION DRUG,12/13/2017,N/A,ANDA,"30 TABLET in 1 BOTTLE, PLASTIC (0406-8005-03)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Suboxone,12496-1202-3,"2 mg/1,                         .5  mg/1","FILM, SOLUBLE",BUCCAL; SUBLINGUAL,NDA022410,INDIVIOR INC.,12496-1202,"buprenorphine hydrochloride, naloxone hydrochloride",BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/13/2010,N/A,NDA,"30 POUCH in 1 CARTON (12496-1202-3)  / 1 FILM, SOLUBLE in 1 POUCH (12496-1202-1)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Zubsolv,54123-929-30,"2.9 mg/1,                         .71  mg/1","TABLET, ORALLY DISINTEGRATING",SUBLINGUAL,NDA204242,"Orexo US, Inc.",54123-929,buprenorphine hydrochloride and naloxone hydrochloride,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,07/04/2013,N/A,NDA,"3 BLISTER PACK in 1 CARTON (54123-929-30)  / 10 TABLET, ORALLY DISINTEGRATING in 1 BLISTER PACK","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,42858-839-40,20 ug/h,PATCH,TRANSDERMAL,NDA021306,Rhodes Pharmaceuticals L.P.,42858-839,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,07/05/2017,N/A,NDA AUTHORIZED GENERIC,4 POUCH in 1 CARTON (42858-839-40)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,0093-3659-40,20 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA204937,"Teva Pharmaceuticals USA, Inc.",0093-3659,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,11/26/2018,N/A,ANDA,4 POUCH in 1 CARTON (0093-3659-40)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Buprenorphine,69238-1205-2,20 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA211586,Amneal Pharmaceuticals NY LLC,69238-1205,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,04/20/2020,N/A,ANDA,4 POUCH in 1 CARTON (69238-1205-2)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
buprenorphine transdermal system,47781-408-04,20 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA207490,Alvogen Inc.,47781-408,buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,08/29/2022,N/A,ANDA,4 POUCH in 1 CARTON (47781-408-04)  / 1 PATCH in 1 POUCH (47781-408-11)  / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
buprenorphine transdermal system,58064-408-04,20 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA207490,"LTS Therapy Systems, LLC",58064-408,buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,08/29/2022,N/A,ANDA,4 POUCH in 1 CARTON (58064-408-04)  / 1 PATCH in 1 POUCH (58064-408-11)  / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
Butrans,59011-752-04,20 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,NDA021306,Purdue Pharma LP,59011-752,buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,02/14/2011,N/A,NDA,4 POUCH in 1 CARTON (59011-752-04)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
SUBLOCADE,12496-0300-1,300 mg/1,SOLUTION,SUBCUTANEOUS,NDA209819,Indivior Inc.,12496-0300,buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,02/26/2018,N/A,NDA,1 POUCH in 1 CARTON (12496-0300-1)  / 1 SYRINGE in 1 POUCH (12496-0300-2)  / 1 SOLUTION in 1 SYRINGE (12496-0300-5),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
BELBUCA,59385-023-60,300 ug/1,"FILM, SOLUBLE",BUCCAL,NDA207932,BioDelivery Sciences International Inc,59385-023,buprenorphine hydrochloride,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/01/2017,N/A,NDA,"60 POUCH in 1 CARTON (59385-023-60)  / 1 FILM, SOLUBLE in 1 POUCH (59385-023-01)","Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023
